mill_id,mill_name,year,month,heat_score,anomaly_pixels,anomaly_frac,mean_swir,peak_swir,zscore_max,prediction,threshold_used
4,Shagang Yonggang,2019,8,0.110749,18612,0.043534,1823.93,5151.25,14.715,ACTIVE,0.05664
4,Shagang Yonggang,2019,9,0.144408,21885,0.05119,1732.38,5612.0,10.418,ACTIVE,0.05664
4,Shagang Yonggang,2019,10,0.093837,19318,0.045185,1698.11,3832.5,6.827,ACTIVE,0.05664
4,Shagang Yonggang,2019,11,0.064406,13295,0.031097,1738.79,3728.0,6.524,ACTIVE,0.05664
4,Shagang Yonggang,2019,12,0.076549,14243,0.033315,1495.81,3690.5,8.776,ACTIVE,0.05664
4,Shagang Yonggang,2020,1,0.111365,20337,0.047569,1449.38,3849.0,8.154,ACTIVE,0.05664
4,Shagang Yonggang,2020,2,0.090079,17368,0.040624,1516.82,3762.43,8.091,ACTIVE,0.05664
4,Shagang Yonggang,2020,3,0.094999,17748,0.041513,1533.94,3944.5,10.184,ACTIVE,0.05664
4,Shagang Yonggang,2020,4,0.106604,18099,0.042334,1654.34,4643.5,15.773,ACTIVE,0.05664
4,Shagang Yonggang,2020,5,0.100028,17953,0.041993,1833.47,4823.5,16.316,ACTIVE,0.05664
4,Shagang Yonggang,2020,6,0.084668,14823,0.034671,2125.93,5463.0,15.143,ACTIVE,0.05664
4,Shagang Yonggang,2020,8,0.113474,18055,0.042231,1779.05,5308.0,14.408,ACTIVE,0.05664
4,Shagang Yonggang,2020,9,0.109233,17885,0.041834,1555.5,4561.0,10.827,ACTIVE,0.05664
4,Shagang Yonggang,2020,10,0.100069,19460,0.045518,1561.47,3786.5,7.009,ACTIVE,0.05664
4,Shagang Yonggang,2020,11,0.090511,18702,0.043745,1711.7,3851.5,6.655,ACTIVE,0.05664
4,Shagang Yonggang,2021,1,0.062426,12634,0.029551,1628.97,3587.18,8.114,ACTIVE,0.05664
4,Shagang Yonggang,2021,2,0.073779,14879,0.034802,1644.52,3742.5,7.459,ACTIVE,0.05664
4,Shagang Yonggang,2021,3,0.085591,16668,0.038987,1676.17,4064.0,11.743,ACTIVE,0.05664
4,Shagang Yonggang,2021,4,0.109463,17264,0.040381,1491.04,4547.87,20.093,ACTIVE,0.05664
4,Shagang Yonggang,2021,6,0.112576,16577,0.038774,1894.04,5954.11,12.528,ACTIVE,0.05664
4,Shagang Yonggang,2021,7,0.114189,17545,0.041038,1744.23,5366.5,14.372,ACTIVE,0.05664
